Название,Адрес,Район,классификация,Чек,Описание,Метро,_sheet_row_number
Музей-квартира Куинджи,"Биржевой переулок., 1/10",Васильевский остров,музей,400₽,"Квартира великого пейзажиста, последние 13 лет его жизни. Мансарда-мастерская с видом на Стрелку В.О. и малую Неву",Василеостровская,34
Mer Kaffe,"Большой проспект В.О., 18 (Андреевский двор)",Васильевский остров,кофе,от 300₽,"Кофейня обжарщиков Bolshe Coffee Roasters в Андреевском дворе. Спешелти кофе, завтраки, вино и сидр. Скандинавский минимализм, можно прийти с собакой.",Василеостровская,35
Surf Coffee,"Средний проспект В.О., 27",Васильевский остров,кофе,от 400₽,"Кофейня на Васильевском острове с вайбом Калифорнии 🌊 Здесь варят кофе альтернативными способами (калссика тоже есть) подают десерты, сырники и сэндвичи",Василеостровская,36
Spica,"Малый проспект В.О., 55",Васильевский остров,обед,1000-2000₽,"Уютный ресторан с авторской кухней на Среднем проспекте. В ресторане собственая пекарня и кондитерская, есть терасса с видом во двор. Уютный вариант для неспешного завтрака, обеда или вечера на Ваське.",Василеостровская,37
Koreana Light,"Средний проспект В.О., 11",Васильевский остров,обед,800-1500₽,"Корейская кухня в лёгком формате. Если хочется кимчи, пибимпаба, рамёна и всего, что согревает душу и желудок — это хороший способ устроить себе гастротрип без визы и джетлага.",Василеостровская,38
Тутси,"9 линия В.О., 30",Васильевский остров,обед,1000-2000₽,"BBQ-меню на любой вкус: бургеры, мясо, ребрышки и крылышки! Не удивительно, что свободные места тут бывают не всегда.",Василеостровская,39
Amore Villaggio,"11-я линия В.О., 24",Васильевский остров,обед,800-1500₽,"В меню представлены блюда, которые заставят вас вспомнить о детстве, например, картошка с селедкой или бабушкина шарлотка. Интерьер ресторана выполнен в ретро-стиле, с использованием винтажной посуды и столовых приборов.",Василеостровская,40
Castelsardo,"10-я линия В.О., 17",Васильевский остров,обед,1000-1500₽,"Здесь делают ставку на классическую итальянскую кухню и атмосферу, где всё крутится вокруг хорошего теста, сыра и любви к пицце. Сюда идут за настоящей пиццей, дровяной печью и итальянским вайбом. 🇮🇹✨ Почти 2 тысячи положительных отзывов!",Василеостровская,41
Хого Shudaxia,"Средний проспект В.О., 83",Васильевский остров,обед,1500-2000₽,"Китайское хого — варите сами в остром или мягком бульоне. Огромный выбор ингредиентов, аутентичная атмосфера. Китайский самовар - самое традиционное блюдо, где ты сам себе повар. Единственное место, где словосочетание ""со своим самоваром“ может использоваться буквально",Горный институт,42
Человек и Пароход,"Большой проспект В.О., 16",Васильевский остров,кофе,до 500₽,"Спешелти кофейня на Василеостровском рынке. Авторские методы заваривания, сезонные напитки.",Василеостровская,43
Tour Coffee,"11-я линия В.О., 40",Васильевский остров,кофе,до 500₽,"Небольшая уютная кофейня на 11-й линии. Качественный спешелти кофе, сэндвичи, канеле.",Василеостровская,44
Просто (кофейня),"16-я линия Васильевского острова, 1",Васильевский остров,кофе,до 500₽,"Благотворительная кофейня во дворике — часть выручки идёт на социальные проекты. Вход во двор. Уютно, демократично, не для снобов.",Горный институт,45
Всё взаимно,"7-я линия В.О., 14",Васильевский остров,кофе,500-800₽,"Кофейня с домашней атмосферой, киновечерами и десертами. В меню — вареники с вишней, сырники, брауни с мороженым и яблочный пирог.",Василеостровская,46
Эр.10,"Улица Репина, 10",Васильевский остров,кофе,до 500₽,"Маленькая кофейня на самой узкой улице Петербурга. Отличное место, чтобы перевести дух во время прогулки: напитки подают в керамике ручной работы, а к кофе предлагают булочки шу и домашний вишнёвый пирог.",Василеостровская,47
Drinkit,"9-я линия В.О., 44",Васильевский остров,кофе,500-800₽,"Цифровая кофейня с заказом через приложение. Быстро, удобно и без очередей. Напитки можно собрать под себя: выбрать сиропы, топпинги, альтернативное молоко или сырную пенку.",Василеостровская,48
Квартира Бенуа,"3 -я линия В.О., 20",Васильевский остров,музей,от 1900₽,"Один из крупнейших и самых престижных жилых комплексов дореволюционного Петербурга. Построен в 1897 году по проекту архитекторов Леонтия, Альберта и Юлия Бенуа.
На четвёртом этаже сохранилась квартира архитектора Леонтия Бенуа. До революции она занимала весь этаж. Сегодня здесь работает музей, созданный потомками семьи Бенуа. В интерьерах сохранились историческая планировка, детали отделки и атмосфера дома, где жил один из главных архитекторов своего времени.Подлинные интерьеры рубежа XIX-XX веков, акварели и личные вещи семьи Бенуа.",Василеостровская,49
Музей почвоведения,"Биржевой пр., 6",Васильевский остров,музей,"входной билет 300₽, с экскурсией 400₽","Неожиданно интересный музей для тех, кто любит смотреть на мир глубже (буквально). Здесь собрана одна из крупнейших коллекций почвенных монолитов: можно увидеть почвы разных регионов России и мира в разрезе. Отдельное удовольствие — само здание: советские витрины и плакаты, скрипучий паркет, сводчатые потолки и виды на Стрелку Васильевского острова",Василеостровская,50
"Музей Мирового океана, Ледокол Красин","Наб. Лейтенанта Шмидта, 23А",Васильевский остров,музей,"300₽ - входной билет , 200₽ - прогулки по палубе","Легендарный ледокол 1917 года постройки и один из старейших действующих ледоколов мира. Он участвовал в арктических экспедициях, проводил суда через льды и спасал полярников. Сегодня это музей, где можно подняться на палубу и машинное отделение, а на специальных экскурсиях — увидеть устройство ледокола изнутри.",Василеостровская,51
Топографический театр «Нити»,"Кадетская линия, 5, корп. 2",Васильевский остров,неформальный,1800₽,"Спектакль-променад «Светило» — путешествие по бывшему Оптическому институту, посвящённое судьбе физика Сергея Вавилова и людям, создававшим советскую науку. Через архивные документы, дневники и воспоминания оживает эпоха больших открытий, надежд и трагедий.
Главная особенность спектакля — возможность увидеть здание таким, каким его уже скоро может не быть. Маршрут проходит по коридорам и помещениям бывшего института, обычно закрытым для посетителей.",Василеостровская,52
Лошади в Академии художеств,"Университетская наб., 17",Васильевский остров,неформальный,бесплатно,"Старинная конюшня в саду Академии художеств — одно из самых неожиданных мест на Васильевском острове. Её построили ещё в XIX веке для Батальной мастерской: будущие художники учились рисовать животных с натуры, и лошади были такими же важными моделями, как люди.
Традиция жива до сих пор — лошади по-прежнему участвуют в учебном процессе",Василеостровская,53
BABKA,"Малый проспект ВО, 48",Васильевский остров,кофе,от 500₽,"Если вы планировали похудеть к лету - это не ваш адрес. Отличную выпечку сопровождает отличный кофе. По вечерам можно купить ""секрктный бокс"" со скидкой",Василеостровская,54
Огниво,"Малый пр. В.О., 57",Васильевский остров,обед,от 3000₽,"Итальянский ресторан в бывшем заводе Посселя.Кухня ресторана предлагает широкий выбор блюд, включая стейки, морепродукты, пасту и пиццу, а также винную и коктейльную карты. Оливковые деревья из Сицилии, внутренний сквер с фонтаном. Топ-100 ресторанов Петербурга 2025.",Горный институт,55
Чебуреки и рюмочная у Ларисы,"Университетская набережная, 25",Васильевский остров,обед,1000-1400₽,"Знаменитые чебуреки, узбекская кухня и настойки на водке. Работает до 06:00 — идеально после вечерней прогулки или если вы опоздали на мосты",Василеостровская,56
Севкабель Порт,"Кожевенная линия, 40",Васильевский остров,неформальный,Бесплатно (вход),"Стритарт, фестивали, Пикник у Залива, центр притяжения на Васильевском острове.Здесь можно проводить закат, попасть на йогу за донейшен или вайбово выпить апероль",Горный институт,57
Lines coffee,"26-я линия В.О., 7",Васильевский остров,"кофе, обед",500-1000₽,"Уютная дог-френдли кофейня с завтраками весь день. В теплую погоду можно поиграть в пинг-понг или атмосферно выпить кофе с смородиновым чизкейком, сидя в шезлонге",Горный институт,58
Особняк Брусницыных,"Кожевенная линия, 27",Васильевский остров,"архитектура, спешел от автора",от 2500₽,"Николай Брусницын, начав с небольшой мастерской, вырастил завод с сотнями работников и построил для семьи дом в модной эклектике конца XIX века. С начала XX века интерьеры почти не реставрировались, поэтому здесь сохранился подлинный слой времени. Внутри — анфилада пространств: столовая с резными проёмами и потайной дверью в бильярдную, Белый танцевальный зал с мраморным камином и высокими окнами, а также зимний сад, частично утраченный в военные годы. Отдельный акцент — восточный зал, ныне кальянная, с куполом и мавританским декором, сохранившимся удивительно хорошо. Посещение только с экскурсией",Горный институт,59
Скобский дворец,"Косая линия, 24",Васильевский остров,"неформальный, архитектура",Бесплатно,"Общежитие Балтийского завода — так называемый «Скобской дворец», 6-этажная громада, построенная для рабочих из Псковской губернии. Название «дворец» здесь ироничное: здание быстро получило изношенный, почти мрачный вид — с облупившейся штукатуркой, копотью и «слепыми» окнами, закрытыми подручными материалами. В 1920-е здесь жило до нескольких тысяч человек — настоящий «муравейник» рабочего города. Квартиры были предельно простыми и часто без кухонь, поэтому готовили прямо в коридорах. ""Скорбари"" Со временем слово стало просто обозначать уроженца Псковщины. В разговорной речи его могли использовать по-разному — и нейтрально, и с лёгкой насмешкой",Горный институт,60
Эрарта,"29-я линия В.О., 2",Васильевский остров,музей,1500₽,"Крупнейший частный музей современного искусства в России. 2800 работ российских художников. Открыт до 23:00 — отличный вечерний вариант. Отличный вечерний вариант для свидания или одинокого любителя современного искусства, все шумные компании уйдут в бар)",Горный институт,61
Западный кроншпиц,"Шкиперский проток, 14АК",Васильевский остров,архитектура,бесплатно,"Два небольших здания «кроншпицев» — единственные из многочисленных сооружений 18 века в Галерной гавани, сохранившиеся до нашего времени. Небольшие сторожевые здания при входе в Галерную гавань с моря были сооружены в 1754 году архитектором М. А. Башмаковым (в 1722 - Трезини Доменико - деревянные кроншпицы). Ныне один находится на территории базы МЧС, другой- Радиозавода.",Приморская,62
Церковь-универмаг,ул. Карташихина 1-3,Васильевский остров,"архитектура, неформальный",бесплатно,"Изначально церковь Тихвинской Божией Матери при подворье Пюхтицкого женского монастыря, возведенная в 1903-1906 гг. арх. В. Н. Бобровым, имела, как и положено, купола и звонницу. В 1923 г. церковь закрыли, а в 1929 г. поручили тому же архитектору ее перестроить под мирские нужды - здесь поселился Гаванский дом промкооперации, впоследствии универмаг «Свердловский» Горпромторга, затем промтоварный магазин, известный в районе как ""Гаванский универмаг"".",Горный институт,63
Морг покровсокй больницы,"Большой проспект В.О., д. 85Г (вход с Детской улицы)",Васильевский остров,"неформальный, архитектура",бесплатно,"Круглый зал с колоннами и маленькой клумбой в центре- главный вход в морг Покровской больницы. Массивная круглая башня из красного кирпича с верхним рядом окон, соединяет корпуса Покровской больницы 1970-х годов, включая патологоанатомическое отделение и морг. Архитектура комплекса связана с именем Г. Н. Булдакова, главного архитектора Ленинграда того времени (тогда больница носила имя В. И. Ленина).",Горный институт,64
ДК Кирова,"Большой пр-т В.О., 83",Васильевский остров,"неформальный, архитектура",бесплатно,"ДК КИРОВА – креативное пространство, образовательный центр и объект. Один их крупнейших памятников архитектуры довоенного Ленинграда и пример конструктивизма в сооружении 30-х годов ХХ столетия. Внутри - коворкинг ""Просто""(до 35 лет), театр, школа балета и кофейни",Горный институт,65
Граффити Вода - это жизнь,"Малый проспект В.О., 69",Васильевский остров,неформальный,бесплатно,"В союзе стрит-арта не было! был! Панно появилось летом 1990 года в рамках советско-американского проекта «Все за одну Землю» и называется «Вода — это жизнь». В центре — образ Матери-Земли, но многие считают. что это «Будда».

Панно высотой 15 метров было создано студентами Мухинского училища в технике по сырой штукатурке, благодаря чему хорошо сохранилось. Художники работали почти полгода, нанося рисунок поэтапно.",Приморская,66
Мама домой не загонит,"Кожевенная линия, 40А (Севкабель)",Васильевский остров,обед,1000-1500₽,"Еда отсылает в беззаботное детство: суточные щи, солянка, тазик оливье, кастрюля пожарских котлет и фирменный печеночный торт, как у бабушки.  Барная карта заполнена напитками «от бати» и другими авторскими напитками. мама домой загонит",Горный институт,67
Ossu,"Кожевенная линия, 40Б (Севкабель)",Васильевский остров,обед,1000-2000₽,"Азиатское бистро новой волны и одна из самых заметных лапшичных Петербурга. Здесь делают ставку на традиционную китайскую пшеничную лапшу ручной вытяжки, щедрые порции и насыщенные соусы. Пространство от DA Bureau получилось живым и шумным — с атмосферой азиатских двориков",Горный институт,68
Crispy Pizza,"Кожевенная линия, 40Е (Севкабель)",Васильевский остров,обед,1000-1500₽,"Пиццерия в Севкабеле. Пицца с хрустящим тонким тестом. Быстро, вкусно, можно взять с собой и отправиться на пикник, с видом на залив.",Горный институт,69
pioalporto,"Кожевенная линия, 40Е (Севкабель)",Васильевский остров,обед,1500-2000₽,"Двухэтажный ресторан у моря в «Севкабель Порт» — место, где легко поймать настроение южного города, не выезжая из Петербурга. Здесь готовят традиционные закуски, выпекают больше десяти видов римской пиццы и предлагают большой выбор итальянских вин.",Горный институт,70
Манна,"Кожевенная линия, 30 (Брусницын)",Васильевский остров,кофе,500-700₽,"Кофейня в пространстве «Брусницын» от проекта «Анненкирхе» — небольшая точка с кофе, чаем и какао.",Горный институт,71
Mntn coffee,"Кожевенная линия, 40Е (Севкабель)",Васильевский остров,кофе,500-700₽,"Кофейня в Севкабеле с видом на залив. Спешелти кофе, авторские напитки, свежая выпечка.",Горный институт,72
Skuratov Coffee,"Большой пр. В.О., 83 (ДК Кирова)",Васильевский остров,кофе,700-1000₽,"Модная кофейня с атмосферой большого города. Часто столы заняты людьми с ноутбуками. Здесь делают ставку на современную кофейную карту: колд брю, эйр латте и другие виды кофейных «заклинаний», надо пробовать! Проект начался в 2013 году в Омске и с тех пор вырос в узнаваемое место",Горный институт,73
