Название,Адрес,Район,классификация,Чек,Описание,Метро,_sheet_row_number
Горка-репа,"Ул. Кораблестроителей, 39",Васильевский остров,"неформальный, спешел от автора",Бесплатно,"Легендарный привет из советских дворов 1980-х. Бетонная детская горка, именно с её покраски в 2012 году начался петербургский Том Сойер фест — фестиваль, который каждый год объединяет людей вокруг заботы о городских деталях.",Приморская,84
Памятник Петру от Церетели,"ул. Кораблестроителей, 16 корпус 3",Васильевский остров,неформальный,Бесплатно,"Памятник Петру I работы Церетели — один из самых неоднозначных монументов Петербурга. Интересен он прежде всего своей историей: изначально скульптор хотел установить памятник в историческом центре города, но эта идея не получила поддержки. В итоге Пётр оказался на Васильевском острове, рядом с гостиницей «Прибалтийская»",Приморская,85
Гостиница Прибалтийская,"ул. Кораблестроителей, 14",Васильевский остров,"архитектура, неформальный",Бесплатно,"Даже если советская архитектура вас не слишком увлекает, к «Прибалтийской» стоит заглянуть ради её культурной биографии. Здесь останавливалась Алла Пугачёва и устроила скандал, который обсуждал весь СССР, а ещё гостиница засветилась в культовых фильмах — здесь снимали сцены для «Брата» и «Интердевочки». Заодно можно представить, каким виделось будущее Ленинграда в конце 1970-х: огромный отель у моря, построенный совместно со шведами и рассчитанный на тысячи гостей. Для обычного советского человека остановиться там тоже было возможно, но главным образом гостиница была рассчитана именно на иностранцев, участников международных конференций и организованные туристические группы. Поэтому в конце 1970-х «Прибалтийская» воспринималась как один из самых престижных и современных отелей города.",Приморская,86
Гаванский городок,"Малый проспект В.О., 67-69",Васильевский остров,"архитектура, неформальный",Бесплатно,"Гаванский городок — одно из самых необычных мест на Васильевском острове. Более ста лет назад здесь построили целый жилой комплекс для рабочих с детским садом, библиотекой, столовой и зелёными дворами. По сути, это прообраз современных микрорайонов, появившийся задолго до их массового строительства. Сюда стоит заглянуть, чтобы увидеть редкий пример социального эксперимента начала XX века",Приморская,87
Центр истории метрополитена,"ул. Одоевского, д. 29",Васильевский остров,музей,700₽,"Как устроена петербургская подземка? По предварительной записи здесь проводят экскурсии, на которых можно узнать, кто работает в метро, как управляют движением поездов и что скрывается за служебными дверями. Настоящий интерактивный центр про метро, после которого начинаешь смотреть на привычные станции совсем иначе. Возможно тут ва дадут ответ про открытие метро «Театральная»",Приморская,88
the choco lab,Проспект КИМа 6Б,Васильевский остров,кофе,от 300₽,"Кофейня при кондитерском производстве, где можно выпить хороший кофе и выбрать десерт по душе. В этой части Васильевского острова кофеен немного, поэтому место особенно ценное. Отличная остановка после прогулки по району или во время сезонной смены колёс у железного коня (рядом шиномонтаж)",Приморская,89
"Институт морской связи и телемеханики, филиал Института химии силикатов",ул. Одоевсокого 24-26,Васильевский остров,архитектура,бесплатно,"Здания построены по проекту архитекторов С. Евдокимова, В. Соколова и В. Рузанова. Даже для человека, далёкого от архитектуры, здесь есть на что посмотреть. Эти здания-близнецы выглядят как декорации к научно-фантастическому фильму о будущем, которое представляли в СССР. Сначала кажется, что они абсолютно одинаковые, но чем дольше смотришь, тем больше замечаешь различий. Особенно интересно наблюдать, как строгие прямоугольные корпуса буквально «обнимают» круглые башни, создавая необычный и очень фотогеничный силуэт.",Приморская,90
Бывшая медсанчасть завода им.Калинина,"ул.Одоевского,10",Васильевский остров,"архитектура, неформальный",бесплатно,"Прекрасный образец ""сталинского неоклассицизма"", построенный в 1957 году. Это здание интересно не только любителям архитектуры. Его едва не снесли в 2017 году, но сегодня оно остаётся одной из самых необычных построек своего времени на Васильевском острове. Если присмотреться, можно заметить множество красивых деталей: колонны, необычные окна, стеклянные эркеры и почти полное отсутствие привычной советской символики. А сразу за зданием скрывается уютный сквер — отличное место, чтобы ненадолго выдохнуть во время прогулки.",Приморская,91
ОгоХого,"1-я линия Васильевского острова, 32",Васильевский остров,обед,от 2000₽,"Место, где можно попробовать настоящий китайский хого. Гости сами готовят мясо, морепродукты и овощи в кипящем ароматном бульоне прямо за столом. Отличный вариант для компании друзей, необычного свидания или знакомства с азиатской кухней.",Василеостровская,92
Доходный дом К. В. Бальди,"9-я линия ВО, 72",Васильевский остров,"архитектура, спешел от автора",бесплатно,"Уникальный маскарон «Бог Дождя»
Не каждый фасад в Петербурге может похвастаться таким выразительным декоративным элементом. Хороший пример того, как старый Петербург может выглядеть бережно отремонтированным — с красивыми деталями и фасадом. Здесь можно увидеть старинную напольную плитку перед входом",Василеостровская,93
Доходный дом О. М. Фогт и Б. А. Попова,"12-я линия ВО, 19",Васильевский остров,"архитектура, спешел от автора",бесплатно,"Соседний дом №21 не примыкает вплотную — между зданиями осталась узкая щель, ведущая в глубину дворов. Для Петербурга, где фасады часто стоят стеной, это любопытная архитектурная особенность. Если заглянуть внутрь, можно найти фальконье — декоративную деталь.",Василеостровская,94
ТАРТА,Малый проспект В.О. 52,Васильевский остров,обед,от 500₽,"Хороший вариант, если хочется неспешно посидеть, встретиться или устроить себе сладкий перерыв в прогулке. Десерты — отличные. А вот кофе и макаронс, на мой вкус, можно оставить другим смельчакам. 😄",Василеостровская,95
Доходный дом,"14-я линия ВО, 21",Васильевский остров,"архитектура, спешел от автора",бесплатно,"Пример петербургского модерна. Даже если не заходить дальше парадной, есть ради чего остановиться: на входе сохранилась красивая метлахская плитка",Василеостровская,96
Доходный дом,"14-я линия ВО, 21",Васильевский остров,"архитектура, спешел от автора",бесплатно,"Пример петербургского модерна. Даже если не заходить дальше парадной, есть ради чего остановиться: на входе сохранилась красивая метлахская плитка",Горный институт,97
rimski,"Большой проспект В.О., 18",Васильевский остров,обед,1800-2000₽,"Место для тех, кто любит не только вкусно поесть, но и наблюдать за процессом. Благодаря открытой кухне можно увидеть, как готовят пиццу, от замеса теста до отправки в печь. Отдельного внимания заслуживают тартары, а в барной карте найдутся коктейли с интересными и неожиданными сочетаниями вкусов. Итальянская классика здесь удачно соседствует с авторским подходом",Василеостровская,98
Bist,"Большой проспект В.О., 18",Васильевский остров,обед,1500-1800₽,"Здесь готовят отличную итальянскую кухню, а пасту эффектно смешивают прямо в сырной голове. Отдельного упоминания заслуживает сервис: внимательный. И главное — обязательно оставьте место для десерта",Василеостровская,99
Доходный дом и мозаичная мастерская Фроловых,"Большой пр. ВО, 64",Васильевский остров,"архитектура, спешел от автора",бесплатно,"Бывшая мозаичная мастерская Фроловых, где создавали мозаики для храмов по всей России, включая Спас на Крови. Во дворе сохранились исторические мозаичные панно. Недавно волонтёры расчистили их от многолетних наслоений и вернули городу редкий мозаичный герб Российской империи.",Горный институт,100
Исторические вывески в доме Гилмора,"4-я линия Васильевского острова, 11",Васильевский остров,"архитектура, спешел от автора",бесплатно,"Во время ремонта фасада дома Гилмора на 4-й линии, 11 реставраторы обнаружили историческую вывеску «Магазинъ В.И. Старожилова». Судя по надписи во втором оконном проёме, здесь располагался магазин, где продавались сигары. Находку аккуратно укрепили и законсервировали, чтобы сохранить подлинный фрагмент городской истории",Василеостровская,101
Доходный дом Прохоровых,"4-я линия ВО, 21",Васильевский остров,"архитектура, спешел от автора",бесплатно,"Фасад приобрёл современный вид по проекту архитектора Д. Г. Фомичева, дом был существенно перестроен: возведён шестиэтажный лицевой корпус с двумя дворовыми флигелями. Главный корпус в плане прямоугольный и связан с флигелями красивой аркой. Обязательно загляните внутрь: двор украшен скульптурами",Василеостровская,102
Горыныч,"7-я линия Васильевского острова, 26",Васильевский остров,неформальный,бесплатно,"Легенда петербургских дворов, лауреат премии «Собака.ру» — жанровая скульптура, расположенная во дворе дома на Васильевском острове. Она была создана Владимиром Трубаковым примерно в 1980 году.",Василеостровская,103
Save my day,наб. канала Грибоедова 107/6,Коломна,кофе,от 300₽,,Коломна,104
РИД,"Декабристов, 39",Коломна,кофе,,,Коломна,105
Aster,"пр. Римского-Корсакова, 22",Коломна,"кофе, обед",,,Коломна,106
Центроварка,"Садовая, 97",Коломна,кофе,,,Коломна,107
Пряшка,,Коломна,обед,,,Коломна,108
Департамент кофе,"наб. Крюкова Канала, 7",Коломна,кофе,,,Коломна,109
Венера Коломенская,"Дровяной пер., 5",Коломна,неформальный,,,Коломна,110
Мариинский театр,,Коломна,база,,,Коломна,111
Terki,,Коломна,обед,,,Коломна,112
МИСП,,Коломна,музей,,,Коломна,113
Юсуповский дворец,,Коломна,музей,,,Коломна,114
Синагога,,,,,,,115
Храм святого Станислава,,,,,,,116
Эстонская церковь святого Иоанна,,,,,,,117
